QID6 - Consent to,,,,,,,,,,,,
Answer,,,,,,,,,,,,
*Could be useful to characterize the hypoxic zone of the central basin of Lake Erie,,,,,,,,,,,,
,,,,,,,,,,,,
"*I primarily work in inland waters that are in Great Lakes Basins, so I tailored my responses to that backdrop.  You as the researchers can determine whether they are useful or not, given that I don't usually work in the Great Lakes themselves.",,,,,,,,,,,,
,,,,,,,,,,,,
"*Temp and chlorophyll highest priority but other listed WQ parameters are important as well.  I‰Ûªm not a water quality person but I would rank pH low At leastbatbthe offshore / whole lake scale. I assume the AUV swarms would fly up and down through the water column to provide vertical profiles of all parameters. In terms of frequency, as often as possible (so depending on the spatial extent the AUV was programmed for daily would be great, but anything is better than nothing!",,,,,,,,,,,,
,,,,,,,,,,,,
"*I do not consider myself a fisheries worker, but a physical scientist dealing with the Great Lakes. My highest interest is measurements of temperature at all depths in the lakes.",,,,,,,,,,,,
,,,,,,,,,,,,
"It would seem stand along sensors (HOBO, YSI) would be a more appropriate and higher resolution option for collecting basic data.",,,,,,,,,,,,
,,,,,,,,,,,,
"*Water data is often able to be collected at relatively short intervals - with new sensors and technology - so should be collected at the shortest time interval as feasible with gear - In my opinion. I checked almost all boxes for ""how often"" based on this opinion.",,,,,,,,,,,,
,,,,,,,,,,,,
" temporal changes in those parameters are rare, often only grab samples for short times of year, high res data, at long time intervals would be most useful to the most people",,,,,,,,,,,,
,,,,,,,,,,,,
*Collection of organisms or video work would be of particular interest to us.,,,,,,,,,,,,
,,,,,,,,,,,,
"Depending on how you plan to use an AUV swarm, temperature could be important.  We already have good surface temperature data from NOAA, so value added would be temperatures at depth once warming begins and before fall turnover.  More thought needs to be put into this aspect of your proposal.I submit that DO is an issue after June, rather than form April through October.",,,,,,,,,,,,
,,,,,,,,,,,,
"*I'm very new to fisheries management, so please weigh my responses accordingly.",,,,,,,,,,,,
,,,,,,,,,,,,
